Tweets,Sentiment
The videos on Huawei Nova 11 Pro is disappointing despite having 50MP camera,negative
Checking warranty information for huawei mate 50 pro,neutral
Installing updates on Google Pixel Fold featuring Pure Android according to my testing,neutral
The speakers on Samsung Galaxy S21 is disappointing according to my testing,negative
The camera app on Vivo X80 is buggy and crashes despite having 50MP camera,negative
The Xiaomi Mi 11 Pro battery charges quickly and lasts long after using for a week,positive
The wireless charging on Huawei Enjoy 60 performs excellently according to my testing,positive
The face unlock on oppo a78 is disappointing,negative
The processor on Samsung Galaxy Note 20 Ultra performs excellently,positive
Transferring data to new Google Pixel 7 Pro according to my testing,neutral
The price on Huawei Nova 11 Pro performs excellently with Leica camera in my experience,positive
The storage on Xiaomi Redmi Note 12 seems dseemsappointing,negative
Autofocus on samsung galaxy z fold 5 camera is slow and inaccurate despite having snapdragon 8 gen 3,negative
the face unlock on samsung galaxy s23 is disappointing,negative
I think setting up vivo t2 pro for the first time,neutral
The screen size and quality on Realme C67 is ideal with Realme UI 5 in my experience,positive
Checking warranty information for Samsung Galaxy S21 compared to previous models,neutral
The screen on Realme Narzo 60 Pro is disappointing in my experience,negative
The value on Apple iPhone 11 Pro Max is disappointing despite having Lightning port according to my testing,negative
The audio on realme c67 is disappointing,negative
The charging on Xiaomi Redmi 8A is disappointing despite having MediaTek Dimensity 7050 overall,negative
The videos on Realme 11 Pro is disappointing compared to previous models,negative
